Year,Region,Location,PlotID,Latitude,Longitude,CaptureDate,CaptureTime,Species,Bander,Scribe,BandSize,MetalIn,FlagColorIn,FlagCodeIn,UpperLeftIn,LowerLeftIn,UpperRightIn,LowerRightIn,MetalOut,FlagColorOut,FlagCodeOut,UpperLeftOut,LowerLeftOut,UpperRightOut,LowerRightOut,TrackerType1,TrackerStatus1,TrackerID1,TrackerType2,TrackerStatus2,TrackerID2,Disposition,Status,Condition,AgeID,HowAged,FieldSex,CHDSex,HowSex,Culmen_mm,CulmenDepth_mm,CulmenWidth_mm,NaresTip_mm,TotalHead_mm,TarsusDiagonal_mm,Wing_mm,p10_mm,p10Exposed_mm,Fat,Weight_g,CaptureMethod,NestID,BroodID,ChickAgeType,ChickHatchDate,ChickAge_d,FeatherCollected,FeatherType,Blood,BloodQuantity,BloodUse,OtherTests,Comments
2023,Alaska,Nome,37 MI,64.84563,-166.08494,7/5/2023,13:55,REKN,ZPohlen,KHunt,2,122274451,FEDG,1KU,FEDG,,Y,M,122274451,FEDG,1KU,FEDG,,Y,M,RADIO,New,267757,,,,R,319,7,ATY,PL,M,,BO,32.4,5.7,3.3,23.1,62.9,32.9,169,,,,125,Mist,,1KU,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,"Frequency: 173.231, plumage: 7, tarsus-toe: 59, swab: 1324, plasma: 1323, DNA: 1325, RBC: 1322"
2023,Alaska,Nome,34 MI,64.81538,-165.92691,7/7/2023,12:20,REKN,ZPohlen,KHunt,2,122274490,,,,,,M,122274490,FEDG,1PP,FEDG,,O,M,RADIO,New,244477,,,,R,319,7,ATY,PL,M,,BO,33.8,6.5,3.9,25.1,64.2,32.4,174,,,,116,Mist,,1PP,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,"Swooped out of air with mist net, frequency: 173.333, plumage: 7, tarsus-toe: 59, swab: 1331, DNA: 1332, plasma: 1333, RBC: 1330"
2023,Alaska,Nome,Steven,64.84456,-166.02062,6/27/2023,18:20,REKN,TOortwijn,KHunt,2,123233825,FEDG,1JP,FEDG,,Y+GEO,M,123233825,FEDG,1JP,FEDG,,Y,M,RADIO,New,,GEO,Removed,,R,319,7,ATY,PL,M,,BO,32.7,6.1,3.8,23.3,62.7,33,174,,,,118,Mist,,1JP,,,,Y,"PC6, back",Y,1,"DNA, SI",cloacal,"Swooped out of air with mist net, Removed GEO, Frequency: 173.453, plumage: 5, tarsus-toe: 60, swab: 1176, fecal: 1175, plasma: 1308, DNA: 1309, RBC: 1310"
2023,Alaska,Nome,34 MI,64.81568,-166.00510,6/6/2023,14:45,REKN,TOortwijn,JvGils,2,123233849,FEDG,1MY,R,,FEDG,M,123233849,FEDG,1MY,R,,FEDG,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,34.8,6.1,4,25.9,64.9,32,170,,,,115,WOOSH,A-02,1MY,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.643
2023,Alaska,Nome,37 MI,64.84298,-166.08182,6/10/2023,14:50,REKN,TOortwijn,JvGils,2,129232101,FEDG,1MT,FEDG,,G,M,129232101,FEDG,1MT,FEDG,,G,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,34.9,6.3,3.8,26.5,65.7,33.2,172,,,,126,WOOSH,T-02,1MT,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.691
2023,Alaska,Nome,34 MI,64.81348,-165.99275,6/19/2023,13:45,REKN,TOortwijn,JvGils,2,129232103,FEDG,1MN,FEDG,,G,M,129232103,FEDG,1MN,FEDG,,G,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,35.5,6,3.2,27.4,66,32,168,,,,113,WOOSH,T-04,1MN,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.303
2023,Alaska,Nome,34 MI,64.81574,-165.99583,7/7/2023,10:55,REKN,ZPohlen,KHunt,2,129232103,FEDG,1MN,FEDG,,G,M,129232103,FEDG,1MN,FEDG,,G,M,RADIO,Replaced,244476,,,,R,325,7,ATY,PL,M,,BO,,,,,,,,,,,112,Mist,T-04,1MN,,,,N,,N,,,,"Replaced lost radio, frequency: 173.323"
2023,Alaska,Nome,34 MI,64.82259,-166.04112,6/29/2023,13:47,REKN,ZPohlen,KHunt,2,129232137,FEDG,1MV,FEDG,,Y,M,129232137,FEDG,1MV,FEDG,,Y,M,RADIO,New,267755,,,,R,319,7,ATY,PL,U,,IC,35.5,6.7,3.5,26,65.5,34.7,171,,,,120,WOOSH,,,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,"Frequency: 173.1693, plumage: 5, tarsus-toe: 63, swab: 1311, DNA: 1313, RBC: 1312, plasma: 1314, male?"
2023,Alaska,Nome,37 MI,64.84738,-166.08438,5/27/2023,13:10,REKN,TOortwijn,JvGils,2,129232139,FEDG,1MH,FEDG,,Y,M,129232139,FEDG,1MH,FEDG,,Y,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,35.6,6.4,4.5,27.4,66,33.1,174,,,,131,WOOSH,J-02,1MH,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,"Metal hard to read at capture, Frequency: 173.913"
2023,Alaska,Nome,34 MI,64.81371,-165.95268,6/6/2023,16:45,REKN,TOortwijn,JvGils,2,129232140,FEDG,1MJ,FEDG,,Y,M,129232140,FEDG,1MJ,FEDG,,Y,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,36,6.7,3.9,27.9,67.3,33.6,173,,,,115,WOOSH,,,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.653
2023,Alaska,Nome,37 MI,64.85123,-166.08031,6/11/2023,13:10,REKN,TOortwijn,JvGils,2,122274343,FELG,6XH,FELG,,W,,129232179,FELG,6XH,FELG,,W,M,,,,,,,R,319,7,ATY,PL,F,,BO,34.7,6.4,3.2,27.3,66.7,33.4,175,,,,126,Mist,T-03,1CX,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,"Missing metal at capture, missing nail on left outer toe"
2023,Alaska,Nome,37 MI,64.85334,-166.08131,6/12/2023,14:00,REKN,TOortwijn,JvGils,2,129231737,FEDG,1HU,FEDG,,Y,,129232181,FEDG,1HU,FEDG,,Y,M,,,,,,,R,319,7,ATY,PL,F,,BO,36.9,6.3,4.6,29,68.6,32.9,179,,,,136,Mist,J-01,1NL,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Missing metal at capture
2023,Alaska,Nome,34 MI,64.81762,-166.00618,6/20/2023,12:25,REKN,TOortwijn,KHunt,2,129231717,FEDG,1EP,FEDG,,Y,,129232187,FEDG,1EP,FEDG,,Y,M,,,,,,,R,319,7,ATY,PL,F,,BO,34.6,6.1,3.9,26.6,66.6,34.9,180,,,,129,Mist,A-02,,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,"Missing metal at capture, plumage: 6, tarsus-toe: 61, swab: 1281, plasma: 1283, RBC: 1284, DNA: 1282"
2023,Alaska,Nome,37 MI,64.84544,-166.08525,5/23/2023,13:40,REKN,TOortwijn,JvGils,2,142220901,FEDG,1MP,FEDG,,G,M,142220901,FEDG,1MP,FEDG,,G,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,34,6.5,4.1,25.8,63.7,31.8,165,,,,130,WOOSH,A-01,1MP,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.903
2023,Alaska,Nome,37 MI,64.84298,-166.08182,6/10/2023,14:50,REKN,TOortwijn,KHunt,2,142220901,FEDG,1MP,FEDG,,G,M,142220901,FEDG,1MP,FEDG,,G,M,RADIO,Retained,,,,,R,325,7,ATY,PL,M,,BO,,,,,,,,,,,112,WOOSH,A-01,1MP,,,,N,,N,,,fecal,Fecal: 1149
2023,Alaska,Nome,Barrel,64.70663,-165.76692,5/25/2023,20:20,REKN,TOortwijn,JvGils,2,142220902,FEDG,1MX,FEGD,,G,M,142220902,FEDG,1MX,FEDG,,G,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,35,6.4,3.8,25.8,65,33.6,175,,,,119,WOOSH,,,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.933
2023,Alaska,Nome,34 MI,64.82364,-166.03580,6/24/2023,12:54,REKN,TOortwijn,KHunt,2,142220903,FEDG,1NA,FEDG,,G,M,142220903,FEDG,1NA,FEDG,,G,M,,,,,,,R,319,7,ATY,PL,F,,BO,37.3,5.8,3.7,28.1,68.2,32.9,178,,,,128,Mist,ALL-01,1PC,,,,Y,"PC6, back",Y,1,"DNA, SI","cloacal, fecal","Plumage: 7, tarsus-toe: 60, plasma: 1303, RBC: 1304, DNA: 1305, fecal: 1306, swab: 1307"
2023,Alaska,Nome,37 MI,64.84751,-166.08745,6/11/2023,16:50,REKN,TOortwijn,JvGils,2,142220904,FEDG,1NC,FEDG,,G,M,142220904,FEDG,1NC,FEDG,,G,M,RADIO,New,,,,,R,319,7,ATY,PL,F,,BO,37,6,3.8,28.3,69.2,34,177,,,,131,WOOSH,T-02,1MT,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.733
2023,Alaska,Nome,37 MI,64.84624,-166.07990,6/10/2023,16:10,REKN,TOortwijn,JvGils,2,142220905,FEDG,1NE,FEDG,,G,M,142220905,FEDG,1NE,FEDG,,G,M,,,,,,,R,319,7,ATY,PL,F,,BO,36,6.1,3.1,27.1,66.3,32.9,184,,,,139,Mist,A-01,1MP,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,
2023,Alaska,Nome,Tombstone,64.94366,-166.20688,5/24/2023,15:50,REKN,TOortwijn,JvGils,2,142220907,FEDG,1NJ,FEDG,,G,M,142220907,FEDG,1NJ,FEDG,,G,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,34.3,6.8,3.7,27,66,32.5,172,,,,126,WOOSH,L-01,,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.192
2023,Alaska,Nome,37 MI,64.85334,-166.08131,6/8/2023,14:45,REKN,TOortwijn,JvGils,2,142220915,FEDG,1CX,FEDG,,LB,M,142220915,FEDG,1CX,FEDG,,LB,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,35.6,6,3.6,27.7,68,34.6,176,,,,120,Mist,J-01,1CX,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.673
2023,Alaska,Nome,34 MI,64.81341,-165.95924,5/28/2023,16:00,REKN,TOortwijn,JvGils,2,142220917,FEDG,1NK,FEDG,,G,M,142220917,FEDG,1NK,FEDG,,G,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,34,6.5,4.7,25.9,64.8,33,177,,,,109,WOOSH,,,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.612
2023,Alaska,Nome,37 MI,64.85084,-166.09125,5/27/2023,16:50,REKN,TOortwijn,JvGils,2,142220930,FEDG,1NL,FEDG,,G,M,142220930,FEDG,1NL,FEDG,,G,M,RADIO,New,,,,,R,319,7,ATY,PL,M,,BO,33.8,6.4,3.8,26.5,65,32.8,170,,,,144,WOOSH,T-03,1NL,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,Frequency: 173.593
2023,Alaska,Nome,34 MI,64.81651,-165.99593,6/21/2023,16:35,REKN,TOortwijn,KHunt,2,142220936,FEDG,1NM,FEDG,,G,M,142220936,FEDG,1NM,FEDG,,G,M,,,,,,,R,319,7,ATY,PL,F,,BO,36.5,5.4,3,27.9,68,33.3,183,,,,126,Mist,T-04,1MN,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,"Tarsus-toe: 61.0, swab: 1289, plasma: 1286, RBC: 1288, DNA: 1287, DNA from egg: 1290"
2023,Alaska,Nome,Feather,64.84146,-165.95891,7/3/2023,14:55,REKN,ZPohlen,KHunt,2,142220937,FEDG,1NN,FEDG,,G,M,142220937,FEDG,1NN,FEDG,,G,M,RADIO,New,267756,,,,R,319,7,ATY,PL,M,,BO,35,5.6,3.7,26,63.9,31.4,170,,,,127,Mist,T-05,1NN,,,,Y,"PC6, back",Y,2,"DNA, SI",cloacal,"Frequency: 173.204, plumage: 7, tarsus-toe: 59, swab: 1315, DNA: 1316, plasma: 1317, RBC: 1318"
2023,Alaska,Nome,37 MI,64.85334,-166.08131,6/24/2023,16:41,REKN,ZPohlen,KHunt,2,,,,,,,,123233635,,,,,,M,,,,,,,1,318,7,L,NF,U,,NA,11.2,4.1,3.4,9.3,32.5,27.3,,1.3,0,,14,Hand,J-01,1CX,Known,6/24/2023,0,Y,Down,Y,filter,DNA,,
2023,Alaska,Nome,37 MI,64.85534,-166.07919,6/26/2023,12:00,REKN,ZPohlen,KHunt,2,123233635,,,,,,M,123233635,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,13.1,4.4,3.7,10.8,35.2,27.9,,2.7,0,,16.1,Hand,J-01,1CX,Known,6/24/2023,2,N,,N,,,fecal,Fecal: 1167
2023,Alaska,Nome,37 MI,64.85156,-166.08131,6/29/2023,16:34,REKN,ZPohlen,KHunt,2,123233635,,,,,,M,123233635,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,16.4,4.9,4.3,12.6,39.5,28.9,,9.8,0,,31.4,Hand,J-01,1CX,Known,6/24/2023,5,N,,N,,,fecal,Fecal: 1187
2023,Alaska,Nome,37 MI,64.85502,-166.07948,7/2/2023,13:06,REKN,ZPohlen,KHunt,2,123233635,,,,,,M,123233635,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,19.4,5.4,4.7,15.3,44.6,31.2,,24.1,6.9,,54.3,Hand,J-01,1CX,Known,6/24/2023,8,N,,N,,,fecal,Fecal: 1207
2023,Alaska,Nome,37 MI,64.84035,-166.07830,7/5/2023,12:12,REKN,ZPohlen,KHunt,2,123233635,,,,,,M,123233635,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,21.3,6.2,4.9,16.4,48.2,32.5,,40.8,16.8,,70.8,Hand,J-01,1CX,Known,6/24/2023,11,Y,Back,N,,,fecal,"Fecal: 1385, 1386,  Adult 1CX fecal sample: 1383"
2023,Alaska,Nome,37 MI,64.83804,-166.06932,7/8/2023,8:45,REKN,ZPohlen,KHunt,2,123233635,,,,,,M,123233635,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,22.5,6.3,5.3,17.3,50.9,33.9,,56,28.8,,88.4,Hand,J-01,1CX,Known,6/24/2023,14,N,,N,,,fecal,Fecal: 1425
2023,Alaska,Nome,37 MI,64.83620,-166.07298,7/15/2023,14:47,REKN,ZPohlen,CGesmundo,2,123233635,,,,,,M,123233635,FEDG,1TH,FEDG,,,M,,,,,,,R,369,7,L,NF,U,,NA,26.3,6.4,5.4,20,55.5,35,,86.7,70.5,,102.2,Mist,J-01,1CX,Known,6/24/2023,21,N,,N,,,fecal,Fecal: 1339
2023,Alaska,Nome,37 MI,64.83844,-166.06918,7/18/2023,19:47,REKN,ZPohlen,CGesmundo,2,123233635,FEDG,1TH,FEDG,,,M,123233635,FEDG,1TH,FEDG,,,M,,,,,,,R,369,7,L,NF,U,,NA,28.3,6.7,5.4,21.6,57.4,35,,98.5,85.7,,110.7,Mist,J-01,1CX,Known,6/24/2023,24,N,,N,,,fecal,Fecal: 1349
2023,Alaska,Nome,37 MI,64.85334,-166.08131,6/24/2023,16:41,REKN,ZPohlen,KHunt,2,,,,,,,,123233636,,,,,,M,,,,,,,1,318,7,L,NF,U,,NA,12,3.9,3.4,9.2,32.5,26.5,,0.4,0,,13.8,Hand,J-01,1CX,Known,6/24/2023,0,Y,Down,Y,filter,DNA,,
2023,Alaska,Nome,37 MI,64.85534,-166.07919,6/26/2023,12:00,REKN,ZPohlen,KHunt,2,123233636,,,,,,M,123233636,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,12.5,4.3,3.7,11,34.8,27.5,,2.6,0,,15,Hand,J-01,1CX,Known,6/24/2023,2,N,,N,,,fecal,Fecal: 1166
2023,Alaska,Nome,37 MI,64.85156,-166.08131,6/29/2023,16:34,REKN,ZPohlen,KHunt,2,123233636,,,,,,M,123233636,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,15.7,5.1,4.2,12.8,39.8,28.9,,8.6,1.2,,28.5,Hand,J-01,1CX,Known,6/24/2023,5,N,,N,,,fecal,Fecal: 1189
2023,Alaska,Nome,37 MI,64.85502,-166.07948,7/2/2023,13:06,REKN,ZPohlen,KHunt,2,123233636,,,,,,M,123233636,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,19.9,5.6,4.2,15.6,44.6,30,,24.1,6.9,,50,Hand,J-01,1CX,Known,6/24/2023,8,N,,N,,,fecal,Fecal: 1208
2023,Alaska,Nome,37 MI,64.84035,-166.07830,7/5/2023,12:12,REKN,ZPohlen,KHunt,2,123233636,,,,,,M,123233636,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,21.6,5.8,4.9,17,48.6,31.4,,40.8,16.8,,68.1,Hand,J-01,1CX,Known,6/24/2023,11,Y,Back,N,,,fecal,"Fecal: 1382, 1384, Adult 1CX fecal sample: 1383"
2023,Alaska,Nome,37 MI,64.83804,-166.06932,7/8/2023,8:45,REKN,ZPohlen,KHunt,2,123233636,,,,,,M,123233636,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,22.5,6.3,4.6,17.1,50.9,32.5,,52.9,27,,89.4,Hand,J-01,1CX,Known,6/24/2023,14,N,,N,,,fecal,Fecal: 1427
2023,Alaska,Nome,37 MI,64.83555,-166.07179,7/11/2023,10:56,REKN,ZPohlen,KHunt,2,123233636,,,,,,M,123233636,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,24.6,6.4,4.9,19,53.2,33.1,,68.2,42.7,,102.9,Hand,J-01,1CX,Known,6/24/2023,17,Y,S4,N,,,fecal,Fecal: 1452
2023,Alaska,Nome,37 MI,64.83620,-166.07298,7/15/2023,14:47,REKN,ZPohlen,CGesmundo,2,123233636,,,,,,M,123233636,FEDG,1TE,FEDG,,,M,,,,,,,R,369,7,L,NF,U,,NA,25.9,6.6,5,20.6,56.2,33.4,,88.2,69.7,,108.9,Mist,J-01,1CX,Known,6/24/2023,21,N,,N,,,fecal,Fecal: 1338
2023,Alaska,Nome,37 MI,64.83844,-166.06918,7/18/2023,19:47,REKN,ZPohlen,CGesmundo,2,123233636,FEDG,1TE,FEDG,,,M,123233636,FEDG,1TE,FEDG,,,M,,,,,,,R,369,7,L,NF,U,,NA,28.9,6.6,5.4,22.4,59.3,34,,97.7,82.3,,114.1,Mist,J-01,1CX,Known,6/24/2023,24,N,,N,,,fecal,Fecal: 1348
2023,Alaska,Nome,37 MI,64.85334,-166.08131,6/25/2023,16:41,REKN,ZPohlen,KHunt,2,,,,,,,,123233637,,,,,,M,,,,,,,1,318,7,L,NF,U,,NA,11.5,3.6,3.2,9.1,32.1,26.2,,0.3,0,,13.3,Hand,J-01,1CX,Known,6/24/2023,1,Y,Down,Y,filter,DNA,,
2023,Alaska,Nome,37 MI,64.85534,-166.07919,6/26/2023,12:00,REKN,ZPohlen,KHunt,2,123233637,,,,,,M,123233637,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,11.9,4.2,3.6,10,33.6,27.4,,0.9,0,,13.5,Hand,J-01,1CX,Known,6/24/2023,2,N,,N,,,fecal,Fecal: 1165
2023,Alaska,Nome,37 MI,64.85156,-166.08131,6/29/2023,16:34,REKN,ZPohlen,KHunt,2,123233637,,,,,,M,123233637,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,15.6,4.8,3.8,12,38.2,28.8,,5.5,0,,24.6,Hand,J-01,1CX,Known,6/24/2023,5,N,,N,,,fecal,Fecal: 1188
2023,Alaska,Nome,37 MI,64.85502,-166.07948,7/2/2023,12:12,REKN,ZPohlen,KHunt,2,123233637,,,,,,M,123233637,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,17.8,5.6,4.2,14.6,44.3,30.4,,15.8,2.7,,43.8,Hand,J-01,1CX,Known,6/24/2023,8,N,,N,,,fecal,Fecal: 1209
2023,Alaska,Nome,37 MI,64.85340,-166.08630,6/26/2023,11:18,REKN,ZPohlen,KHunt,2,,,,,,,,123233638,,,,,,M,,,,,,,1,318,7,L,NF,U,,NA,12,4,3.3,9.4,32.1,27,,0.4,0,,15.1,Hand,T-02,1MT,Known,6/26/2023,0,Y,Down,Y,filter,DNA,,
2023,Alaska,Nome,37 MI,64.85156,-166.08131,6/29/2023,16:15,REKN,ZPohlen,KHunt,2,123233638,,,,,,M,123233638,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,14,4.8,3.9,11.1,36.9,27.5,,4.3,0,,20.8,Hand,T-02,1MT,Known,6/26/2023,3,N,,N,,,fecal,Fecal: 1185
2023,Alaska,Nome,37 MI,64.85284,-166.08928,7/2/2023,14:19,REKN,ZPohlen,KHunt,2,123233638,,,,,,M,123233638,,,,,,M,,,,,,,R,300,7,L,NF,U,,NA,15.6,5.7,4,13.4,42.2,30.4,,13.8,0.9,,38.8,Hand,T-02,1MT,Known,6/26/2023,6,N,,N,,,fecal,Fecal: 1210
