Year,NestID,Date,PlotID,Time,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShells,AdultBroody,BroodSeen,FailureCause,Comments,Egg1Float,Egg1Surfaced,Egg1mm,Egg2Float,Egg2Surfaced,Egg2mm,Egg3Float,Egg3Surfaced,Egg3mm,Egg4Float,Egg4Surfaced,Egg4mm,,,,,,,,,,,,,,
2023,J-02,6/19/2023,37 MI,10:50,64.84805,-166.08647,,7,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,"1NY on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/21/2023,37 MI,,64.84805,-166.08647,,8,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,2 eggs with cracks,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/22/2023,37 MI,10:35,64.84805,-166.08647,,9,Incubating,Y,3,,1MH,FEDG,1NY,FEDG,5/28/2023,,,,,,,,,,3 eggs pipped,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J-02,6/23/2023,37 MI,7:45,64.84805,-166.08647,,10,Hatched,Y,0,3,1MH,FEDG,1NY,FEDG,5/28/2023,Intact,N,N,N,None,None,Y,Y,,3 chicks in bowl,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-02,6/4/2023,37 MI,,64.85340,-166.08630,,1,Incubating,Y,2,,1MT,FEDG,1NC,FEDG,6/1/2023,,,,,,,,,,Thermal scope,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-02,6/12/2023,37 MI,,64.85340,-166.08630,,2,Incubating,Y,2,,1MT,FEDG,1NC,FEDG,6/1/2023,,,,,,,,,,Floated,80,Y,0,90,Y,0,,,,,,,,,,,,,,,,,,,,
2023,T-02,6/18/2023,37 MI,,64.85340,-166.08630,,3,Incubating,N,,,1MT,FEDG,1NC,FEDG,6/1/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-02,6/21/2023,37 MI,,64.85340,-166.08630,,4,Incubating,Y,2,,1MT,FEDG,1NC,FEDG,6/1/2023,,,,,,,,,,1NC on nest,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-02,6/24/2023,37 MI,11:08,64.85340,-166.08630,,5,Incubating,Y,2,,1MT,FEDG,1NC,FEDG,6/1/2023,,,,,,,,,,"1NC on nest, light starring on eggs",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-02,6/26/2023,37 MI,11:18,64.85340,-166.08630,,6,Hatched,Y,0,2,1MT,FEDG,1NC,FEDG,6/1/2023,Intact,N,N,N,None,None,Y,Y,,2 chicks in bowl,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-03,6/4/2023,37 MI,,64.85123,-166.08031,,1,Incubating,Y,4,,1NL,FEDG,6XH,FELG,5/28/2023,,,,,,,,,,Found with thermal,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-03,6/11/2023,37 MI,,64.85123,-166.08031,,2,Incubating,Y,4,,1NL,FEDG,6XH,FELG,5/28/2023,,,,,,,,,,"Floated, caught 6XH (female)",90,Y,2,90,Y,2,80,Y,3,80,Y,3,,,,,,,,,,,,,,
2023,T-03,6/14/2023,37 MI,,64.85123,-166.08031,,3,Incubating,Y,4,,1NL,FEDG,6XH,FELG,5/28/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-03,6/16/2023,37 MI,13:20,64.85123,-166.08031,,4,Incubating,Y,4,,1NL,FEDG,6XH,FELG,5/28/2023,,,,,,,,,,"6XH on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
