Year,Date,Region,Location,PlotID,Latitude,Longitude,EncounterType,FlagCode,FlagColor,CurrentFlagCode,CurrentFlagColor,Age,Sex,TrackerType1,TrackerType2,TrackerStatus1,TrackerStatus2,Observer,Comments
2023,6/25/2023,Alaska,Nome,37 MI,64.85334,-166.08131,R,1CX,FEDG,1CX,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/26/2023,Alaska,Nome,37 MI,64.85534,-166.07919,R,1CX,FEDG,1CX,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/26/2023,Alaska,Nome,37 MI,64.84988,-166.08417,R,1MH,FEDG,1MH,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/26/2023,Alaska,Nome,37 MI,64.84470,-166.08425,R,1MP,FEDG,1MP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/26/2023,Alaska,Nome,37 MI,64.85340,-166.08630,R,1MT,FEDG,1MT,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/26/2023,Alaska,Nome,37 MI,64.85031,-166.08085,R,1NL,FEDG,1NL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/26/2023,Alaska,Nome,Tombstone,64.93512,-166.20959,R,1PL,FEDG,1PL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/27/2023,Alaska,Nome,Steven,64.84456,-166.02062,R,1JP,FEDG,1JP,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/27/2023,Alaska,Nome,Feather East,64.84300,-165.91222,R,1PK,FEDG,1PK,FEDG,AHY,,RADIO,,Retained,,TOortwijn,
2023,6/27/2023,Alaska,Nome,Steven,64.84456,-166.02062,R,1JP,FEDG,1JP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/29/2023,Alaska,Nome,34 MI,64.82158,-166.03708,R,1MV,FEDG,1MV,FEDG,AHY,,,,,,TOortwijn,
2023,6/29/2023,Alaska,Nome,34 MI,64.82259,-166.04112,R,1MV,FEDG,1MV,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,6/29/2023,Alaska,Nome,37 MI,64.85156,-166.08131,R,1CX,FEDG,1CX,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/29/2023,Alaska,Nome,37 MI,64.84565,-166.08788,R,1MH,FEDG,1MH,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/29/2023,Alaska,Nome,37 MI,64.84658,-166.08109,R,1MP,FEDG,1MP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/29/2023,Alaska,Nome,37 MI,64.85178,-166.08498,R,1MT,FEDG,1MT,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/29/2023,Alaska,Nome,37 MI,64.84627,-166.08794,R,1NL,FEDG,1NL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/29/2023,Alaska,Nome,Tombstone,64.93654,-166.21025,R,1PL,FEDG,1PL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,6/30/2023,Alaska,Nome,34 MI,64.81328,-165.95722,R,1PJ,FEDG,1PJ,FEDG,AHY,,RADIO,,Retained,,TOortwijn,
2023,6/30/2023,Alaska,Nome,34 MI,64.81328,-165.95722,R,1PK,FEDG,1PK,FEDG,AHY,,RADIO,,Retained,,TOortwijn,
