Year,StateProvince,City,PlotName,Latitude_dec,Longitude_dec,Date,CaptureTime_2400,SpeciesCode,BanderID,ScribeID,BandSize,BandNumberIn,FlagColorIn,FlagCodeIn,ULIn,LLIn,URIn,LRIn,BandNumberOut,FlagColorOut,FlagCodeOut,ULOut,LLOut,UROut,LROut,TagType1,TagStatus1,TagID1,TagType2,TagStatus2,TagID2,BBLDisposition,BBLStatus,BBLCondition,Age,HowAged,FieldSex,CHDSex,HowSexed,CulmenLength_mm,CulmenDepth_mm,CulmenWidth_mm,NaresTip_mm,TotalHead_mm,Tarsus_mm,Wing_mm,P10_mm,P10Exposed_mm,FatScore,Mass_g,CaptureMethod,NestID,BroodID,ChickAgeType,EstHatchDate,ChickAge_d,Feather,FeatherType1,FeatherType2,Blood,BloodFilter,BloodIsotope,Fecal,Notes
2023,Alaska,Nome,37 MI,64.84563,-166.08494,7/5/2023,13:55,REKN,ZMPohlen,KHunt,2,122274451,Dg,1KU,Flag,,Yl,X,122274451,Dg,1KU,Flag,,Yl,X,Radio,Deployed,267757,,,,R,319,7,ATY,PL,M,,BO,32.4,5.7,3.3,23.1,62.9,32.9,169,,,,125,MN,,1KU,,,,Y,PC6,body,Y,,Y,Y,"Frequency: 173.231, plumage: 7, tarsus-toe: 59, swab: 1324, plasma: 1323, DNA: 1325, RBC: 1322"
2023,Alaska,Nome,34 MI,64.81538,-165.92691,7/7/2023,12:20,REKN,ZMPohlen,KHunt,2,122274490,,,,,,X,122274490,Dg,1PP,Flag,,Or,X,Radio,Deployed,244477,,,,R,319,7,ATY,PL,M,,BO,33.8,6.5,3.9,25.1,64.2,32.4,174,,,,116,MN,,1PP,,,,Y,PC6,body,Y,,Y,Y,"Swooped out of air with mist net, frequency: 173.333, plumage: 7, tarsus-toe: 59, swab: 1331, DNA: 1332, plasma: 1333, RBC: 1330"
2023,Alaska,Nome,Steven,64.84456,-166.02062,6/27/2023,18:20,REKN,TOortwijn,KHunt,2,123233825,Dg,1JP,Flag,,Yl-Geo,X,123233825,Dg,1JP,Flag,,Yl,X,Radio,Deployed,,Geo,Removed,,R,319,7,ATY,PL,M,,BO,32.7,6.1,3.8,23.3,62.7,33,174,,,,118,MN,,1JP,,,,Y,PC6,body,Y,,Y,Y,"Swooped out of air with mist net, Removed GEO, Frequency: 173.453, plumage: 5, tarsus-toe: 60, swab: 1176, fecal: 1175, plasma: 1308, DNA: 1309, RBC: 1310"
2023,Alaska,Nome,34 MI,64.81568,-166.0051,6/6/2023,14:45,REKN,TOortwijn,JvanGils,2,123233849,Dg,1MY,Rd,,Flag,X,123233849,Dg,1MY,Rd,,Flag,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,34.8,6.1,4,25.9,64.9,32,170,,,,115,WN,A02,1MY,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.643
2023,Alaska,Nome,37 MI,64.84298,-166.08182,6/10/2023,14:50,REKN,TOortwijn,JvanGils,2,129232101,Dg,1MT,Flag,,Dg,X,129232101,Dg,1MT,Flag,,Dg,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,34.9,6.3,3.8,26.5,65.7,33.2,172,,,,126,WN,T02,1MT,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.691
2023,Alaska,Nome,34 MI,64.81348,-165.99275,6/19/2023,13:45,REKN,TOortwijn,JvanGils,2,129232103,Dg,1MN,Flag,,Dg,X,129232103,Dg,1MN,Flag,,Dg,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,35.5,6,3.2,27.4,66,32,168,,,,113,WN,T04,1MN,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.303
2023,Alaska,Nome,34 MI,64.81574,-165.99583,7/7/2023,10:55,REKN,ZMPohlen,KHunt,2,129232103,Dg,1MN,Flag,,Dg,X,129232103,Dg,1MN,Flag,,Dg,X,Radio,Replaced,244476,,,,R,325,7,ATY,PL,M,,BO,,,,,,,,,,,112,MN,T04,1MN,,,,N,,,N,,,,"Replaced lost radio, frequency: 173.323"
2023,Alaska,Nome,34 MI,64.82259,-166.04112,6/29/2023,13:47,REKN,ZMPohlen,KHunt,2,129232137,Dg,1MV,Flag,,Yl,X,129232137,Dg,1MV,Flag,,Yl,X,Radio,Deployed,267755,,,,R,319,7,ATY,PL,U,,IC,35.5,6.7,3.5,26,65.5,34.7,171,,,,120,WN,,,,,,Y,PC6,body,Y,,Y,Y,"Frequency: 173.1693, plumage: 5, tarsus-toe: 63, swab: 1311, DNA: 1313, RBC: 1312, plasma: 1314, male?"
2023,Alaska,Nome,37 MI,64.84738,-166.08438,5/27/2023,13:10,REKN,TOortwijn,JvanGils,2,129232139,Dg,1MH,Flag,,Yl,X,129232139,Dg,1MH,Flag,,Yl,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,35.6,6.4,4.5,27.4,66,33.1,174,,,,131,WN,J02,1MH,,,,Y,PC6,body,Y,,Y,Y,"Metal hard to read at capture, Frequency: 173.913"
2023,Alaska,Nome,34 MI,64.81371,-165.95268,6/6/2023,16:45,REKN,TOortwijn,JvanGils,2,129232140,Dg,1MJ,Flag,,Yl,X,129232140,Dg,1MJ,Flag,,Yl,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,36,6.7,3.9,27.9,67.3,33.6,173,,,,115,WN,,,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.653
